name,scientific name,size,difficulty,min. Tank size,specific gravity,PH,temperature,water hardness,stocking ratio,diet,life span,origin,family
White Lamprologus,,,,,,,,,,,,,
Zig-Zag Eel (,Mastacembelus circumcinctus,"15.2-40.6cm (6-16  "")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","6.5 - 7.8
","23.9-27.2°C (75 -81  °F)
","6-25 °d
","1:1 M:F
",Carnivore,"5-10 years
",Asia,"Mastacembelidae
"
Yellow-Fin Mchenga,,,,,,,,,,,,,
Yellow Sand Cichlid,,,,,,,,,,,,,
Yellow Tail Polka Dot Loach,,,,,,,,,,,,,
Yellow Tail Acei,,,,,,,,,,,,,
Yellow Tetra,,,,,,,,,,,,,
Zig-Zag Eel (,Mastacembelus circumcinctus,"15.2-40.6cm (6-16  "")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","6.5 - 7.8
","23.9-27.2°C (75 -81  °F)
","6-25 °d
","1:1 M:F
",Carnivore,"5-10 years
",Asia,"Mastacembelidae
"
Unicolor Pleco,,,,,,,,,,,,,
Yellow Sunfish,,,,,,,,,,,,,
Yellow Regal Peacock Cichlid,,,,,,,,,,,,,
Zulu Perch,,,,,,,,,,,,,
Yellow Lepturus Cichlid,,,,,,,,,,,,,
Zebra Pleco (,Hypancistrus zebra,"6.4-7.6cm (2.5-3  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 7.5
","26 -30  °C (78.8-86°F)
","8-18 °d
","1:1 M:F
",Omnivore,"3-5 years
",South America,"Loricariidae
"
Zhou's Scarlet Goby (,Rhinogobius zhoui,"3.8-4.6cm (1.5-1.8  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 7.2
","23.3-24.4°C (74 -76  °F)
","5-12 °d
","1:1 M:F
",Omnivore,"3-5 years
",Asia,"Gobiidae
"
Zebra Tilapia (,Tilapia buttikoferi,"25-40  cm (9.8-15.7"")
",Moderate,"473 Litres (125   US G.)
","Freshwater  
","6.8 - 7.0
","24 -28  °C (75.2-82.4°F)
","8-10 °d
","1:1 M:F
",Omnivore,"10-15 years
",Africa,"Cichlidae
"
Zebra Shovelnose (,Brachyplatystoma tigrinum,"48.3-61cm (19-24  "")
",Moderate,"946 Litres (250   US G.)
","Freshwater  
","6.8 - 7.6
","23.9-27.8°C (75 -82  °F)
","6-16 °d
","1:1 M:F
",Carnivore,"8-18 years
",South America,"Pimelodidae
"
Zona Loach,,,,,,,,,,,,,
Zipper Loach,,,,,,,,,,,,,
Zollinger's Hillstream Loach,,,,,,,,,,,,,
Zig-Zag Spiny Eel,,,,,,,,,,,,,
Zig-Zag Eel,,,,,,,,,,,,,
"Red Zebra Mbuna ""Cobalt Blue"" (",Pseudotropheus zebra,"10-11  cm (3.9-4.3"")
",Easy,"76 Litres (20   US G.)
","Freshwater  
","7.5 - 8.5
","22 -30  °C (71.6-86°F)
","9-19 °d
","1:2 M:F
",Omnivore,"5-8 years
",Lake Malawi,"Cichlidae
"
Zebra Obliquidens (,Haplochromis latifasciatus,"10-11  cm (3.9-4.3"")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","7.8 - 8.2
","23.9-26.7°C (75 -80  °F)
","8-12 °d
","1:2 M:F
",Carnivore,"8-10 years
",Africa,"Cichlidae
"
Zilli's Tilapia,,,,,,,,,,,,,
Banded Shovelnose Catfish (,Brachyplatystoma juruense,"63.5-76.2cm (25-30  "")
",Challenging,"681 Litres (180   US G.)
","Freshwater  
","6.5 - 7.6
","23.3-27.8°C (74 -82  °F)
","8-12 °d
","1:1 M:F
",Carnivore,"8-10 years
",South America,"Pimelodidae
"
Calophysus Catfish (,Calophysus macropterus,"30-40  cm (11.8-15.7"")
",Challenging,"1325 Litres (350   US G.)
","Freshwater  
","6.0 - 7.4
","23.9-28.9°C (75 -84  °F)
","5-15 °d
","1:1 M:F
",Carnivore,"8-15 years
",South America,"Pimelodidae
"
Midnight Catfish (,Auchenipterichthys coracoideus,"10.2-12.7cm (4-5  "")
",Moderate,"132 Litres (35   US G.)
","Freshwater  
","6.0 - 7.2
","23 -25  °C (73.4-77°F)
","8-18 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Auchenipteridae
"
Zig Zag Eel,,,,,,,,,,,,,
Zamora Catfish (,Auchenipterichthys thoracatus,"10-11  cm (3.9-4.3"")
",Moderate,"132 Litres (35   US G.)
","Freshwater  
","6.5 - 7.2
","20 -24  °C (68-75.2°F)
","7-16 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Auchenipteridae
"
Pakistani loach (,Botia almorhae,"10-15  cm (3.9-5.9"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6 - 7.6
","23 -28  °C (73.4-82.4°F)
","2-10 °d
","1:2 M:F
",Omnivore,"6-16 years
",Asia,"Cobitidae
"
Yellowhump Eartheater (,Geophagus pellegrini,"12.7-15.2cm (5-6  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","5.5 - 6.0
","25 -30  °C (77-86°F)
","0-2 °d
","1:1 M:F
",Omnivore,"8-12 years
",South America,"Cichlidae
"
Yellowhead Mbuna Cichlid (,Maylandia hajomaylandi,"7.6-12.7cm (3-5  "")
",Moderate,"132 Litres (35   US G.)
","Freshwater  
","7.5 - 8.3
","24 -26  °C (75.2-78.8°F)
","10-20 °d
","2:3 M:F
",Omnivore,"2-5 years
",Lake Malawi,"Cichlidae
"
Zebra Pleco,,,,,,,,,,,,,
Yellow Banded Moenkhausia (,Moenkhausia sanctaefilomenae,"5.1-7.6cm (2-3  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.5 - 8.5
","22.8-27.8°C (73 -82  °F)
","6-15 °d
","1:2 M:F
",Omnivore,"3-5 years
",South America,"Characidae
"
Yellow-Tailed Violet Cichlid (,Gephyrochromis moorii,"10.2-12.7cm (4-5  "")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","7.8 - 8.6
","22.2-25.6°C (72 -78  °F)
","8-12 °d
","1:2 M:F
",Omnivore,"5-8 years
",Lake Malawi,"Cichlidae
"
Zebra Tilapia,,,,,,,,,,,,,
Yellow-Tailed Congo Tetra (,Alestopetersius caudalis,"6.4-7.6cm (2.5-3  "")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.5 - 7.8
","22 -26  °C (71.6-78.8°F)
","10-20 °d
","1:2 M:F
",Omnivore,"8-10 years
",Africa,"Alestidae
"
Yellow-Finned Xenotilapia (,Xenotilapia flavipinnis,"9-10  cm (3.5-3.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","8.0 - 9.0
","24 -27  °C (75.2-80.6°F)
","9-19 °d
","1:3 M:F
",Omnivore,"5-8 years
",Lake Tanganyika,"Cichlidae
"
Zhou's Scarlet Goby,,,,,,,,,,,,,
Zebra Shovelnose,,,,,,,,,,,,,
Electric Yellow Cichlid (,Labidochromis caeruleus,"10-13  cm (3.9-5.1"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","7.5 - 8.6
","22 -28  °C (71.6-82.4°F)
","10-15 °d
","1:3 M:F
",Carnivore,"6-8 years
",Lake Malawi,"Cichlidae
"
Zebra Obliquidens,,,,,,,,,,,,,
Zebra Mbuna,,,,,,,,,,,,,
Red Bellied Piranha (,Pygocentrus nattereri,"30.5-40.6cm (12-16  "")
",Moderate,"379 Litres (100   US G.)
","Freshwater  
","5.5 - 7.5
","22 -30  °C (71.6-86°F)
","8-12 °d
","2:3 M:F
",Carnivore,"5-10 years
",South America,"Characidae
"
Yellow Kribensis (,Pelvicachromis humilis,"11-12.5  cm (4.3-4.9"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","6.0 - 8.0
","24 -26  °C (75.2-78.8°F)
","5-12 °d
","1:1 M:F
",Omnivore,"5-8 years
",Africa,"Cichlidae
"
Zebra Catfish,,,,,,,,,,,,,
Zamora Woodcat,,,,,,,,,,,,,
Golden Julie (,Julidochromis ornatus,"7.6-10.2cm (3-4  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.5 - 8.5
","22.2-25°C (72 -77  °F)
","9-19 °d
","1:1 M:F
",Carnivore,"5-7 years
",Lake Tanganyika,"Cichlidae
"
Yellow Giraffe Catfish (,Auchenoglanis biscutatus,"88.9-137.2cm (35-54  "")
",Challenging,"757 Litres (200   US G.)
","Freshwater  
","7.0 - 8.0
","24 -26  °C (75.2-78.8°F)
","8-25 °d
","1:1 M:F
",Omnivore,"8-18 years
",Africa,"Claroteidae
"
Zamurito,,,,,,,,,,,,,
Yellowhump Eartheater,,,,,,,,,,,,,
Three-Spot Tetra,,,,,,,,,,,,,
Yellowhead Mbuna Cichlid,,,,,,,,,,,,,
Yo-Yo Loach,,,,,,,,,,,,,
Threespot Torpedo Cichlid,,,,,,,,,,,,,
Yellow-Tailed Congo Tetra,,,,,,,,,,,,,
Zamora Catfish,,,,,,,,,,,,,
Yellow-Tailed Violet Cichlid,,,,,,,,,,,,,
Threestripe Gourami,,,,,,,,,,,,,
Yellow Lab,,,,,,,,,,,,,
Yellow-Finned Xenotilapia,,,,,,,,,,,,,
Orange Chromide (,Etroplus maculatus,"7.6-12.7cm (3-5  "")
",Moderate,"114 Litres (30   US G.)
", - ,"8.2 - 8.4
","22 -26  °C (71.6-78.8°F)
","8-12 °d
","1:1 M:F
",Carnivore,"5-8 years
",Asia,"Cichlidae
"
Tico Merry Widow,,,,,,,,,,,,,
Yellowhead Tetra,,,,,,,,,,,,,
Yellow Convict Cichlid (,Archocentrus nanoluteus,"7.6-10.2cm (3-4  "")
",Moderate,"110 Litres (29   US G.)
","Freshwater  
","7.0 - 8.0
","22 -32  °C (71.6-89.6°F)
","5-20 °d
","1:1 M:F
",Omnivore,"8-10 years
",South America,"Cichlidae
"
Yellow Kribensis,,,,,,,,,,,,,
Yellow King Piranha,,,,,,,,,,,,,
Yellow Bullhead (,Ameiurus natalis,"40-48  cm (15.7-18.9"")
",Challenging,"1325 Litres (350   US G.)
","Freshwater  
","6.0 - 8.0
","5-21.7°C (41 -71  °F)
","6-10 °d
","1:1 M:F
",Carnivore,"15-18 years
",North America,"Ictaluridae
"
Salvini Cichlid (,Cichlasoma salvini,"20.1-22.1cm (7.9-8.7  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.0 - 8.0
","22 -32  °C (71.6-89.6°F)
","5-20 °d
","1:2 M:F
",Carnivore,"5-8 years
",Central America,"Cichlidae
"
Yellow Giraffe Catfish,,,,,,,,,,,,,
Yellow Bullhead (,Ameiurus natalis,"40-48  cm (15.7-18.9"")
",Challenging,"1325 Litres (350   US G.)
","Freshwater  
","6.0 - 8.0
","5-21.7°C (41 -71  °F)
","6-10 °d
","1:1 M:F
",Carnivore,"15-18 years
",North America,"Ictaluridae
"
Yellow Julie,,,,,,,,,,,,,
Black Bullhead (,Ictalurus melas,"17.8-40.6cm (7-16  "")
",Moderate,"341 Litres (90   US G.)
","Freshwater  
","6.5 - 7.0
","15.6-27.8°C (60 -82  °F)
","6-10 °d
","1:1 M:F
",Omnivore,"4-10 years
",North America,"Ictaluridae
"
Yellow Banded Moenkhausia (,Moenkhausia sanctaefilomenae,"5.1-7.6cm (2-3  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.5 - 8.5
","22.8-27.8°C (73 -82  °F)
","6-15 °d
","1:2 M:F
",Omnivore,"3-5 years
",South America,"Characidae
"
Yellow Banded Moenkhausia (,Moenkhausia sanctaefilomenae,"5.1-7.6cm (2-3  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.5 - 8.5
","22.8-27.8°C (73 -82  °F)
","6-15 °d
","1:2 M:F
",Omnivore,"3-5 years
",South America,"Characidae
"
Yellow Acara (,Aequidens metae,"10.2-12.7cm (4-5  "")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","5.0 - 6.0
","24 -30  °C (75.2-86°F)
","0-4 °d
","1:1 M:F
",Omnivore,"5-8 years
",South America,"Cichlidae
"
Yellow Belly Albert (,Haplochromis aeneocolor,"7-7.5  cm (2.8-3"")
",Moderate,"114 Litres (30   US G.)
","Freshwater  
","7.2 - 8.6
","23.3-25.6°C (74 -78  °F)
","15-20 °d
","1:1 M:F
",Omnivore,"3-5 years
",Africa,"Cichlidae
"
Pakistani loach (,Botia almorhae,"10-15  cm (3.9-5.9"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","6 - 7.6
","23 -28  °C (73.4-82.4°F)
","2-10 °d
","1:2 M:F
",Omnivore,"6-16 years
",Asia,"Cobitidae
"
Xingu Cichlid (,Retroculus xinguensis,"20.3-25.4cm (8-10  "")
",Moderate,"246 Litres (65   US G.)
","Freshwater  
","6.5 - 7.0
","27 -30  °C (80.6-86°F)
","2-12 °d
","1:1 M:F
",Omnivore,"8-10 years
",South America,"Cichlidae
"
X-Ray Tetra (,Pristella maxillaris,"2.5-5.1cm (1-2  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.0 - 8.0
","24 -28  °C (75.2-82.4°F)
","6-20 °d
","1:2 M:F
",Omnivore,"3-5 years
",South America,"Characidae
"
Wrestling Halfbeak (,Dermogenys pusillus,"5.1-7.6cm (2-3  "")
",Moderate,"95 Litres (25   US G.)
", - ,"7.0 - 8.0
","23.3-27.8°C (74 -82  °F)
","6-18 °d
","1:1 M:F
",Carnivore,"3-4 years
",Asia,"Hemiramphidae
"
Wrestling Halfbeak (,Dermogenys pusillus,"5.1-7.6cm (2-3  "")
",Moderate,"95 Litres (25   US G.)
", - ,"7.0 - 8.0
","23.3-27.8°C (74 -82  °F)
","6-18 °d
","1:1 M:F
",Carnivore,"3-4 years
",Asia,"Hemiramphidae
"
Worm Line Peckoltia (,Peckoltia braueri,"10.2-12.7cm (4-5  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","6.5 - 7.2
","23 -27  °C (73.4-80.6°F)
","5-14 °d
","1:1 M:F
",Omnivore,"8-12 years
",South America,"Loricariidae
"
Flag Woodcat (,Trachelyopterus insignis,"17.8-20.3cm (7-8  "")
",Moderate,"170 Litres (45   US G.)
","Freshwater  
","6.2 - 7.2
","23 -28  °C (73.4-82.4°F)
","10-25 °d
","2:3 M:F
",Carnivore,"5-10 years
",South America,"Auchenipteridae
"
Wolf Cichlid (,Parachromis dovii,"61-71.1cm (24-28  "")
",Challenging,"757 Litres (200   US G.)
","Freshwater  
","7.0 - 7.5
","23.9-27.8°C (75 -82  °F)
","15-20 °d
","1:1 M:F
",Carnivore,"8-12 years
",Central America,"Cichlidae
"
Yellow Chromide,,,,,,,,,,,,,
Yellow Convict Cichlid,,,,,,,,,,,,,
Ice Blue Red Top Zebra (,Maylandia greshakei,"12-14  cm (4.7-5.5"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.5 - 8.2
","24 -26  °C (75.2-78.8°F)
","6-16 °d
","1:2 M:F
",Omnivore,"5-8 years
",Lake Malawi,"Cichlidae
"
Yellow Bullhead,,,,,,,,,,,,,
Wimple Piranha (,Catoprion mento,"12-15  cm (4.7-5.9"")
",Challenging,"284 Litres (75   US G.)
","Freshwater  
","5.4 - 6.5
","23 -26  °C (73.4-78.8°F)
","5-8 °d
","1:2 M:F
",Carnivore,"8-12 years
",South America,"Characidae
"
Yellow Belly Cichlid,,,,,,,,,,,,,
Siamese Tigerfish (,Datnioides pulcher,"30-40  cm (11.8-15.7"")
",Challenging,"379 Litres (100   US G.)
","Freshwater  
","7.2 - 7.5
","22.2-24.4°C (72 -76  °F)
","8-15 °d
","2:3 M:F
",Carnivore,"5-10 years
",Asia,"Datnioididae
"
Siamese Tigerfish (,Datnioides pulcher,"30-40  cm (11.8-15.7"")
",Challenging,"379 Litres (100   US G.)
","Freshwater  
","7.2 - 7.5
","22.2-24.4°C (72 -76  °F)
","8-15 °d
","2:3 M:F
",Carnivore,"5-10 years
",Asia,"Datnioididae
"
Yellow Back Moenkhausia,,,,,,,,,,,,,
Yellow Banded Moenkhausia,,,,,,,,,,,,,
Yellow Belly Catfish,,,,,,,,,,,,,
Yellow Belly Albert,,,,,,,,,,,,,
Yellow Belly Bullhead,,,,,,,,,,,,,
Wrestling Halfbeak,,,,,,,,,,,,,
Yellow Acara,,,,,,,,,,,,,
Xingu Cichlid,,,,,,,,,,,,,
X-Ray Fish,,,,,,,,,,,,,
Worm Line Peckoltia,,,,,,,,,,,,,
Wrestling Half Beak,,,,,,,,,,,,,
Wolf Cichlid,,,,,,,,,,,,,
Wood Catfish,,,,,,,,,,,,,
William's Mbuna,,,,,,,,,,,,,
Y loach,,,,,,,,,,,,,
Wimple Piranha,,,,,,,,,,,,,
White-Whisker Lancer (,Bagrichthys majusculus,"15.2-16.3cm (6-6.4  "")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","5.5 - 7.0
","23.9-27.2°C (75 -81  °F)
","1-15 °d
","1:1 M:F
",Omnivore,"5-8 years
",Asia,"Bagridae
"
Whitepatched Goodeid (,Allodontichthys hubbsi,"5-6  cm (2-2.4"")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","7.0 - 8.0
","24 -28  °C (75.2-82.4°F)
","5-20 °d
","1:3 M:F
",Omnivore,"3-5 years
",Mexico,"Goodeidae
"
Rosy Tetra (,Hyphessobrycon rosaceus,"3-4.1cm (1.2-1.6  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 7.5
","24 -28  °C (75.2-82.4°F)
","10-20 °d
","1:2 M:F
",Omnivore,"3-5 years
",South America,"Characidae
"
Widebar Tigerfish,,,,,,,,,,,,,
White Spotted Cichlid (,Tropheus duboisi,"10-12  cm (3.9-4.7"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","8.5 - 9.0
","24 -26  °C (75.2-78.8°F)
","10-12 °d
","1:1 M:F
",Omnivore,"5-8 years
",Lake Tanganyika,"Cichlidae
"
Widebar Datnoid,,,,,,,,,,,,,
White-Finned Synodontis (,Synodontis caudovittatus,"25.4-27.9cm (10-11  "")
",Moderate,"246 Litres (65   US G.)
","Freshwater  
","6.5 - 7.5
","21 -24  °C (69.8-75.2°F)
","8-18 °d
","1:1 M:F
",Omnivore,"5-8 years
",Africa,"Mochokidae
"
White Pearl Fish (,Nematolebias whitei,"7-8  cm (2.8-3.1"")
",Easy,"76 Litres (20   US G.)
","Freshwater  
","6.5 - 7.0
","15.6-20°C (60 -68  °F)
","1-10 °d
","1:2 M:F
",Carnivore,"0.5-1 years
",South America,"Rivulidae
"
Dogtooth Cichlid (,Cynotilapia afra,"7.6-10.2cm (3-4  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.5 - 9.0
","25 -26  °C (77-78.8°F)
","10-25 °d
","1:3 M:F
",Carnivore,"8-12 years
",Lake Malawi,"Cichlidae
"
Yellow Bullhead (,Ameiurus natalis,"40-48  cm (15.7-18.9"")
",Challenging,"1325 Litres (350   US G.)
","Freshwater  
","6.0 - 8.0
","5-21.7°C (41 -71  °F)
","6-10 °d
","1:1 M:F
",Carnivore,"15-18 years
",North America,"Ictaluridae
"
Dawn Tetra (,Aphyocharax paraguayensis,"2.5-3  cm (1-1.2"")
",Moderate,"76 Litres (20   US G.)
","Freshwater  
","5.5 - 7.5
","22 -27  °C (71.6-80.6°F)
","10-15 °d
","2:3 M:F
",Carnivore,"2-5 years
",South America,"Characidae
"
White Spotted Cichlid (,Tropheus duboisi,"10-12  cm (3.9-4.7"")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","8.5 - 9.0
","24 -26  °C (75.2-78.8°F)
","10-12 °d
","1:1 M:F
",Omnivore,"5-8 years
",Lake Tanganyika,"Cichlidae
"
Black Widow tetra (,Gymnocorymbus ternetzi,"2.5-5.1cm (1-2  "")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.8 - 8
","20-26.1°C (68 -79  °F)
","8-12 °d
","1:2 M:F
",Omnivore,"5-6 years
",South America,"Characidae
"
White Pearl Fish (,Nematolebias whitei,"7-8  cm (2.8-3.1"")
",Easy,"76 Litres (20   US G.)
","Freshwater  
","6.5 - 7.0
","15.6-20°C (60 -68  °F)
","1-10 °d
","1:2 M:F
",Carnivore,"0.5-1 years
",South America,"Rivulidae
"
White Cheek Goby (,Rhinogobius duospilus,"4-5  cm (1.6-2"")
",Moderate,"95 Litres (25   US G.)
", - ,"7.5 - 8.0
","15 -25  °C (59-77°F)
","6-16 °d
","1:1 M:F
",Carnivore,"5-8 years
",Asia,"Gobiidae
"
Tire Track Eel (,Mastacembelus armatus,"80-90  cm (31.5-35.4"")
",Moderate,"208 Litres (55   US G.)
", - ,"6.5 - 7.5
","22 -28  °C (71.6-82.4°F)
","5-15 °d
","1:2 M:F
",Omnivore,"8-18 years
",Asia,"Mastacembelidae
"
Silver Cichlid (,Vieja argentea,"25.4-35.6cm (10-14  "")
",Moderate,"284 Litres (75   US G.)
","Freshwater  
","7.5 - 7.8
","26 -30  °C (78.8-86°F)
","6-16 °d
","1:2 M:F
",Omnivore,"10-15 years
",Mexico,"Cichlidae
"
Barramundi (,Lates calcarifer,"142.2-193cm (56-76  "")
",Challenging,"3785 Litres (1000   US G.)
", - ,"6.5 - 7.2
","23 -26  °C (73.4-78.8°F)
","6-8 °d
","1:1 M:F
",Carnivore,"5-25 years
",Indo-West Pacific,"Latidae
"
Brandti Piranha (,Serrasalmus brandtii,"21-30  cm (8.3-11.8"")
",Challenging,"454 Litres (120   US G.)
","Freshwater  
","5.5 - 7.5
","23 -28  °C (73.4-82.4°F)
","5-10 °d
","1:1 M:F
",Carnivore,"12-18 years
",South America,"Characidae
"
White-Whisker Lancer,,,,,,,,,,,,,
White-Tip Tetra,,,,,,,,,,,,,
Whitepatched Goodeid,,,,,,,,,,,,,
White-Spotted Tropheus,,,,,,,,,,,,,
Bowfin (,Amia calva,"100-110  cm (39.4-43.3"")
",Moderate,"568 Litres (150   US G.)
","Freshwater  
","6.6 - 7.2
","22.2-23.9°C (72 -75  °F)
","8-12 °d
","1:1 M:F
",Carnivore,"10-12 years
",North America,"Amiidae
"
Blue Whale Catfish (,Cetopsis coecutiens,"22.9-26.9cm (9-10.6  "")
",Moderate,"284 Litres (75   US G.)
","Freshwater  
","6.0 - 7.4
","22.2-26.1°C (72 -79  °F)
","2-15 °d
","1:1 M:F
",Carnivore,"8-12 years
",South America,"Cetopsidae
"
West Australian Pygmy Perch (,Edelia vittata,"7-8  cm (2.8-3.1"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.5 - 7.5
","8 -28  °C (46.4-82.4°F)
","6-16 °d
","1:1 M:F
",Carnivore,"5-8 years
",Australia,"Percichthyidae
"
White Top Afra,,,,,,,,,,,,,
Western Mosquitofish (,Gambusia affinis,"2.5-5.1cm (1-2  "")
",Moderate,"38 Litres (10   US G.)
", - ,"6.0 - 8.0
","12 -29  °C (53.6-84.2°F)
","5-19 °d
","1:2 M:F
",Carnivore,"3-5 years
",Central America,"Poeciliidae
"
White Skirt Tetra,,,,,,,,,,,,,
White Whiskered Bullhead,,,,,,,,,,,,,
Whiptailed Banjo Catfish (,Platystacus cotylephorus,"30.5-33cm (12-13  "")
",Moderate,"170 Litres (45   US G.)
", - ,"6.0 - 8.2
","21.7-25°C (71 -77  °F)
","10-20 °d
","1:2 M:F
",Omnivore,"8-12 years
",South America,"Aspredinidae
"
White Spotted Cichlid,,,,,,,,,,,,,
White Spot Tetra,,,,,,,,,,,,,
White's Pearlfish,,,,,,,,,,,,,
White-Finned Synodontis,,,,,,,,,,,,,
White Pearl Fish,,,,,,,,,,,,,
White Piranha,,,,,,,,,,,,,
Wessel's Cichlid (,Theraps wesseli,"15.2-20.3cm (6-8  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.4 - 8.2
","23 -27  °C (73.4-80.6°F)
","8-10 °d
","1:1 M:F
",Omnivore,"5-8 years
",Central America,"Cichlidae
"
White-Spotted Spiny Eel,,,,,,,,,,,,,
Werner's Panchax (,Aplocheilus werneri,"6-9  cm (2.4-3.5"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.0 - 7.0
","25 -28  °C (77-82.4°F)
","5-10 °d
","1:1 M:F
",Carnivore,"3-5 years
",Asia,"Aplocheilidae
"
White Seabass,,,,,,,,,,,,,
West Australian Pygmy Perch (,Edelia vittata,"7-8  cm (2.8-3.1"")
",Moderate,"95 Litres (25   US G.)
","Freshwater  
","6.5 - 7.5
","8 -28  °C (46.4-82.4°F)
","6-16 °d
","1:1 M:F
",Carnivore,"5-8 years
",Australia,"Percichthyidae
"
White Cichlid,,,,,,,,,,,,,
White Cheek Goby,,,,,,,,,,,,,
European Wels (,Silurus glanis,"400-500  cm (157.5-196.9"")
",Moderate,"3785 Litres (1000   US G.)
","Freshwater  
","6.5 - 7.5
","15.6-23.9°C (60 -75  °F)
","4-20 °d
","1:1 M:F
",Carnivore,"12-30 years
",Europe,"Siluridae
"
Weather Loach (,Misgurnus anguillicaudatus,"20.3-25.4cm (8-10  "")
",Moderate,"208 Litres (55   US G.)
","Freshwater  
","7.0 - 8.0
","10 -25  °C (50-77°F)
","8-12 °d
","1:2 M:F
",Omnivore,"6-10 years
",Asia,"Cobitidae
"
Western Mosquitofish,,,,,,,,,,,,,
Western Pygmy Perch,,,,,,,,,,,,,
Whale Catfish,,,,,,,,,,,,,
White Cloud Mountain Minnow (,Tanichthys albonubes,"2.5-3.8cm (1-1.5  "")
",Easy,"38 Litres (10   US G.)
","Freshwater  
","6.0 - 8.0
","10 -23  °C (50-73.4°F)
","5-19 °d
","1:2 M:F
",Omnivore,"2-4 years
",Asia,"Cyprinidae
"
Warmouth (,Lepomis gulosus,"30-31  cm (11.8-12.2"")
",Moderate,"284 Litres (75   US G.)
","Freshwater  
","7.0 - 7.5
","10 -20  °C (50-68°F)
","10-20 °d
","1:1 M:F
",Carnivore,"8-12 years
",North America,"Centrarchidae
"
Whiptailed Banjo Catfish,,,,,,,,,,,,,
Wallago Catfish (,Wallago attu,"177.8-203.2cm (70-80  "")
",Difficult,"3785 Litres (1000   US G.)
", - ,"6.0 - 7.6
","18.9-28.9°C (66 -84  °F)
","2-20 °d
","1:1 M:F
",Carnivore,"8-10 years
",Asia,"Siluridae
"
Rachow's Darter Tetra‎ (,Characidium rachovii,"4-5  cm (1.6-2"")
",Moderate,"57 Litres (15   US G.)
","Freshwater  
","5.6 - 7.5
","20 -24  °C (68-75.2°F)
","10-25 °d
","1:2 M:F
",Omnivore,"5-8 years
",South America,"Crenuchidae
"
Walker's Killifish (,Fundulopanchax walkeri,"5.1-7.1cm (2-2.8  "")
",Moderate,"38 Litres (10   US G.)
","Freshwater  
","6.0 - 7.0
","20 -23  °C (68-73.4°F)
","5-12 °d
","2:3 M:F
",Carnivore,"3-5 years
",Africa,"Nothobranchiidae
"
Vulturosa Cichlid (,Acaronia vultuosa,"10.2-12.7cm (4-5  "")
",Challenging,"114 Litres (30   US G.)
","Freshwater  
","7.0 - 7.5
","25 -26  °C (77-78.8°F)
","6-10 °d
","1:1 M:F
",Carnivore,"5-10 years
",South America,"Cichlidae
"
Calophysus Catfish (,Calophysus macropterus,"30-40  cm (11.8-15.7"")
",Challenging,"1325 Litres (350   US G.)
","Freshwater  
","6.0 - 7.4
","23.9-28.9°C (75 -84  °F)
","5-15 °d
","1:1 M:F
",Carnivore,"8-15 years
",South America,"Pimelodidae
"
Western Mudfish,,,,,,,,,,,,,
Geryi Piranha (,Serrasalmus geryi,"17.8-20.3cm (7-8  "")
",Challenging,"208 Litres (55   US G.)
","Freshwater  
","6.5 - 7.5
","23 -28  °C (73.4-82.4°F)
","5-10 °d
","1:1 M:F
",Carnivore,"5-10 years
",South America,"Characidae
"
